o_node,d_node,origin,destination,lengthDisr,origin_cnt,category,name,lengthNorm,difference
442717580,45181360,A_5,B_2,650.0630000000001,1.0,repair,EV1_ma,650.0630000000001,0.0
1519771739,11695230690,A_2,B_3,1313.8149999999998,1.0,repair,EV1_ma,1313.8149999999998,0.0
11695230682,11695230690,A_1,B_3,1168.304,1.0,repair,EV1_ma,1168.304,0.0
11695230683,11695230689,A_3,B_1,1049.1059999999998,1.0,repair,EV1_ma,1049.1059999999998,0.0
11695230684,11695230689,A_4,B_1,812.405,1.0,repair,EV1_ma,812.405,0.0
11695230685,45181360,A_6,B_2,555.0450000000001,1.0,repair,EV1_ma,555.0450000000001,0.0
11695230686,11695230690,A_7,B_3,1354.979,1.0,repair,EV1_ma,1354.979,0.0
11695230687,11695230690,A_8,B_3,749.889,1.0,repair,EV1_ma,749.889,0.0
11695230688,45181360,A_9,B_2,992.6519999999999,,repair,EV1_ma,992.6519999999999,0.0
442717580,45181360,A_5,B_2,650.0630000000001,1.0,repair,EV1_ma,650.0630000000001,0.0
1519771739,11695230690,A_2,B_3,1313.8149999999998,1.0,repair,EV1_ma,1313.8149999999998,0.0
11695230682,11695230690,A_1,B_3,1168.304,1.0,repair,EV1_ma,1168.304,0.0
11695230683,11695230689,A_3,B_1,1049.1059999999998,1.0,repair,EV1_ma,1049.1059999999998,0.0
11695230684,11695230689,A_4,B_1,812.405,1.0,repair,EV1_ma,812.405,0.0
11695230685,45181360,A_6,B_2,555.0450000000001,1.0,repair,EV1_ma,555.0450000000001,0.0
11695230686,11695230690,A_7,B_3,1354.979,1.0,repair,EV1_ma,1354.979,0.0
11695230687,11695230690,A_8,B_3,749.889,1.0,repair,EV1_ma,749.889,0.0
11695230688,45181360,A_9,B_2,992.6519999999999,,repair,EV1_ma,992.6519999999999,0.0
